B,G,R,Target
35,31,25,hitam
32,29,26,hitam
28,28,26,hitam
27,28,22,hitam
30,28,24,hitam
34,29,22,hitam
32,27,28,hitam
29,26,26,hitam
30,26,27,hitam
45,36,30,hitam
46,36,32,hitam
47,36,31,hitam
44,36,31,hitam
37,34,31,hitam
34,33,29,hitam
33,33,28,hitam
34,35,29,hitam
34,35,29,hitam
37,33,30,hitam
41,37,30,hitam
50,128,37,Hijau
47,125,35,Hijau
50,130,38,Hijau
50,130,38,Hijau
50,129,37,Hijau
50,131,38,Hijau
54,135,40,Hijau
56,139,42,Hijau
55,139,42,Hijau
56,139,43,Hijau
57,139,43,Hijau
56,139,41,Hijau
57,138,42,Hijau
58,141,42,Hijau
54,139,41,Hijau
57,140,42,Hijau
55,138,40,Hijau
56,138,40,Hijau
56,139,41,Hijau
55,137,40,Hijau
